NAMASTE_code,NAMASTE_term,Biomedicine_code,Biomedicine_term,Biomedicine_mapping_type,TM-2_code,TM-2_term,TM-2_mapping_type
AYU,vyAdhi-viniScayaH,,,,SN4D,Vitiligo disorder (TM2),semantic_match
DIS,vikAraH,"9B8Y, 9B8Z","Disorders of the vitreous body, unspecified, Other specified disorders of the vitreous body",semantic_match,SN4D,Vitiligo disorder (TM2),semantic_match
A,doShavaiShamyam,,,,SS30,Physical faculties derangement pattern (TM2),semantic_match
AA,vAtavyAdhiH,"RA00.0, XM9FN4","Vamidothion, Vaping related disorder",semantic_match,SS82,Vata predominant age pattern (TM2),semantic_match
AAA,doShAvasthA (vAta),,,,SS56,Body constitution with a predominance of all three dosha pattern (TM2),semantic_match
EA-2.1,hikkA-pUrvarUpam,,,,SM74,Hiccough disorder (TM2),semantic_match
EA-5.2,pittajasvaraBedaH,,,,SS81,Pitta predominant age pattern (TM2),semantic_match
EA-5.3,kaPajasvaraBedaH,,,,SS80,Kapha predominant age pattern (TM2),semantic_match
H-7,sAma-netrarogaH,,,,SS60,"Personality with a calm, composed mindset (TM2)",semantic_match
H-8,nirAma-netrarogaH,"XM0158, XM2WY0, XM4EA3, XM5LH9, XM6M26","Nialamide, Nimorazole, Nintedanib, Niridazole, Nivolumab",semantic_match,SG6Z,"Six stage patterns (TM1), unspecified",semantic_match
H-9,pakva-netrarogaH,,,,SS55,Kapha-Vata constitution pattern (TM2),semantic_match
H-10,vAtAnugata-dRuShTiH,,,,SR12,Aggravation of vata pattern (TM2),semantic_match
H-11,pittAnugata-dRuShTiH,,,,SS54,Pitta-Kapha constitution pattern (TM2),semantic_match
AAB-92(SN3Y),vRuShaNAkShepaH (kEvalavAta),,,,SN4D,Vitiligo disorder (TM2),semantic_match
AAB-93(SP4Y),va~gkShaNAnAhaH (kEvalavAta),,,,SR11,Accumulation of Vata pattern (TM2),semantic_match
SR11 (AAA-1),vAtasa~jcayaH,,,,SR11,Accumulation of Vata pattern (TM2),direct_match
SR12 (AAA-2),vAtavRuddhiH,,,,SR12,Aggravation of vata pattern (TM2),direct_match
SR10 (AAA-2.1),vAtaprakopaH,,,,SR10,Vitiation of vāta pattern (TM2),direct_match
SR10 (AAA-2.1),vAtaprakopaH,,,,SR10,Vitiation of vāta pattern (TM2),direct_match
AAA-2.2,prANavAtakopaH,,,,SN07,Priapism disorder (TM2),semantic_match
AAA-2.3,udAnavAtakopaH,,,,SL0Y,Other specified neck and throat disorders (TM2),semantic_match
AAA-2.4,vyAnavAtakopaH,"4A44.Y, 4A44.Z, 9B8Y, 9B8Z, EM0Y","Disorders of the vitreous body, unspecified, Other specified diseases of the skin, Other specified disorders of the vitreous body, Other specified vasculitis, Vasculitis, unspecified",semantic_match,SN4D,Vitiligo disorder (TM2),semantic_match
AAA-2.5,samAnavAtakopaH,,,,SM16,Sialorrhoea disorder (TM2),semantic_match
AAA-2.6,apAnavAtakopaH,,,,SC4Z,"Female reproductive system disorders (TM1) (including childbirth), unspecified",semantic_match
SR13(AAA-3),vAtaprasaraNam,,,,SR13,Spreading of vata pattern (TM2),direct_match
SR14 (AAA-4),vAtakShayaH,,,,SR14,Depletion of vata pattern (TM2),direct_match
AAB,nAnAtmajavAtavikAraH,GA02.Z,"Vaginitis, unspecified",semantic_match,SM9B,Vaginismus disorder (TM2),semantic_match
SQ00 (AAB-1),atipralApaH (kEvalavAta),"6C4G.5, 6D70.0, 6D70.2, 6D70.Y, 6D70.Z","Delirium due to disease classified elsewhere, Delirium due to multiple etiological factors, Delirium induced by unknown or unspecified psychoactive substance, Delirium, other specified cause, Delirium, unspecified or unknown cause",semantic_match,SQ00,Delirium disorder (TM2),direct_match
SQ05(AAB-2),anavasthitacittatvam (kEvalavAta),,,,SQ05,"Lack of concentration, confusion disorder (TM2)",direct_match
AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),,,,SP9Z,"Disorders affecting the whole body (TM2), unspecified",semantic_match
AAB-4 (SP9Y),a~ggaSuShkatA (kEvalavAta),,,,SP9Y,Other specified disorders affecting the whole body (TM2),semantic_match
SP21 (AAB-5),a~ggaviBraMSaH (kEvalavAta),,,,SP21,Atony disorder (TM2),direct_match
AAB-6,arditaH (kEvalavAta),,,,SD00,Facial paralysis disorder (TM1),semantic_match
SM1P (AAB-7),arasaj~jatA (kEvalavAta),,,,SM1P,Ageusia disorder (TM2),direct_match
SM1P (AAB-7),arasaj~jatA (kEvalavAta),,,,SM1P,Ageusia disorder (TM2),direct_match
AAB-8,aSabdaSravaNam (kEvalavAta),MC41,Tinnitus,semantic_match,SK86,Tinnitus disorder (TM2),semantic_match
AAB-9,asvapnaH (kEvalavAta),"7A00, 7A0Z","Chronic insomnia, Insomnia disorders, unspecified",semantic_match,SQ24,Insomnia disorder (TM2),semantic_match
AAB-10,akShiBedaH (kEvalavAta),,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
